Anna Karenina,Leo Tolstoy,964,1877,"['classics', 'fiction', 'romance', 'cultural', 'russia', 'historical', 'historical-fiction', 'literature', 'literature', 'russian-literature', 'novels', 'literature', '19th-century', 'historical']",704484,4.06,http://www.goodreads.com/book/show/15823480-anna-karenina
Matilda,Roald Dahl,240,1988,"['childrens', 'fiction', 'classics', 'fantasy', 'childrens', 'middle-grade', 'young-adult', 'humor', 'audiobook', 'fantasy', 'magic', 'childrens', 'juvenile']",714258,4.31,http://www.goodreads.com/book/show/39988.Matilda
One Flew Over the Cuckoo's Nest,Ken Kesey,325,1962,"['classics', 'fiction', 'literature', 'psychology', 'novels', 'health', 'mental-health', 'academic', 'school', 'literature', 'american', 'mental-health', 'mental-illness', 'contemporary']",657346,4.19,http://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest
Outlander,Diana Gabaldon,850,1991,"['historical', 'historical-fiction', 'romance', 'fantasy', 'fiction', 'science-fiction', 'time-travel', 'historical', 'romance', 'historical-romance', 'adult', 'audiobook', 'cultural', 'scotland']",879198,4.23,http://www.goodreads.com/book/show/10964.Outlander
The Girl with the Dragon Tattoo,Stieg Larsson,465,2005,"['fiction', 'mystery', 'thriller', 'mystery', 'crime', 'thriller', 'mystery-thriller', 'suspense', 'contemporary', 'adult', 'adult-fiction', 'novels']",2747312,4.14,http://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo
My Sister's Keeper,Jodi Picoult,423,2004,"['fiction', 'contemporary', 'womens-fiction', 'chick-lit', 'young-adult', 'drama', 'adult', 'adult-fiction', 'realistic-fiction', 'family', 'novels']",1093676,4.08,http://www.goodreads.com/book/show/10917.My_Sister_s_Keeper
Rebecca,Daphne du Maurier,449,1938,"['classics', 'fiction', 'mystery', 'gothic', 'romance', 'historical', 'historical-fiction', 'thriller', 'suspense', 'thriller', 'mystery-thriller', 'horror']",496462,4.23,http://www.goodreads.com/book/show/17899948-rebecca
The Color Purple,Alice Walker,304,1982,"['classics', 'fiction', 'historical', 'historical-fiction', 'feminism', 'historical', 'lgbt', 'cultural', 'african-american', 'literature', 'novels', 'adult']",553789,4.23,http://www.goodreads.com/book/show/52892857-the-color-purple
A Tree Grows in Brooklyn,Betty  Smith,496,1943,"['classics', 'fiction', 'historical', 'historical-fiction', 'young-adult', 'young-adult', 'coming-of-age', 'historical', 'literature', 'new-york', 'novels', 'book-club']",403651,4.27,http://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn
The Brothers Karamazov,Fyodor Dostoyevsky,796,1879,"['classics', 'fiction', 'cultural', 'russia', 'literature', 'literature', 'russian-literature', 'philosophy', 'novels', 'literature', '19th-century', 'classics', 'classic-literature', 'religion']",259276,4.32,http://www.goodreads.com/book/show/4934.The_Brothers_Karamazov
A Clockwork Orange,Anthony Burgess,213,1962,"['classics', 'fiction', 'science-fiction', 'science-fiction', 'dystopia', 'literature', 'novels', 'horror', 'thriller', 'mystery', 'crime', 'classics', 'modern-classics']",631254,3.99,http://www.goodreads.com/book/show/41817486-a-clockwork-orange
The Road,Cormac McCarthy,241,2006,"['fiction', 'science-fiction', 'science-fiction', 'dystopia', 'apocalyptic', 'post-apocalyptic', 'horror', 'classics', 'literature', 'novels', 'science-fiction', 'apocalyptic', 'contemporary']",755616,3.97,http://www.goodreads.com/book/show/6288.The_Road
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,435,1999,"['fantasy', 'young-adult', 'fiction', 'fantasy', 'magic', 'childrens', 'childrens', 'middle-grade', 'adventure', 'audiobook', 'classics', 'science-fiction-fantasy']",3055535,4.57,http://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
Angela's Ashes,Frank McCourt,452,1996,"['non-fiction', 'autobiography', 'memoir', 'biography', 'classics', 'cultural', 'ireland', 'biography', 'autobiography', 'biography-memoir', 'history', 'european-literature', 'irish-literature', 'historical']",564561,4.12,http://www.goodreads.com/book/show/252577.Angela_s_Ashes
Vampire Academy,Richelle Mead,332,2007,"['young-adult', 'fantasy', 'paranormal', 'vampires', 'fantasy', 'paranormal', 'romance', 'fantasy', 'urban-fantasy', 'fiction', 'fantasy', 'supernatural', 'romance', 'paranormal-romance', 'fantasy', 'magic']",581060,4.11,http://www.goodreads.com/book/show/345627.Vampire_Academy
Siddhartha,Hermann Hesse,152,1922,"['classics', 'fiction', 'philosophy', 'spirituality', 'religion', 'literature', 'religion', 'buddhism', 'european-literature', 'german-literature', 'novels', 'historical', 'historical-fiction']",622023,4.04,http://www.goodreads.com/book/show/52036.Siddhartha
The Poisonwood Bible,Barbara Kingsolver,546,1998,"['fiction', 'historical', 'historical-fiction', 'cultural', 'africa', 'classics', 'historical', 'literary-fiction', 'novels', 'literature', 'religion', 'adult-fiction']",677034,4.07,http://www.goodreads.com/book/show/7244.The_Poisonwood_Bible
The Golden Compass,Philip Pullman,399,1995,"['fantasy', 'young-adult', 'fiction', 'childrens', 'adventure', 'science-fiction', 'childrens', 'middle-grade', 'science-fiction-fantasy', 'science-fiction', 'steampunk', 'classics']",1348409,3.99,http://www.goodreads.com/book/show/119322.The_Golden_Compass
The Fellowship of the Ring,J.R.R. Tolkien,527,1954,"['fantasy', 'classics', 'fiction', 'adventure', 'science-fiction-fantasy', 'fantasy', 'high-fantasy', 'fantasy', 'epic-fantasy', 'young-adult', 'novels', 'fantasy', 'magic']",2462129,4.37,http://www.goodreads.com/book/show/3263607-the-fellowship-of-the-ring
Don Quixote,Miguel de Cervantes Saavedra,1023,1605,"['classics', 'fiction', 'literature', 'european-literature', 'spanish-literature', 'adventure', 'novels', 'historical', 'historical-fiction', 'cultural', 'spain', 'humor', 'classics', 'classic-literature']",224365,3.88,http://www.goodreads.com/book/show/3836.Don_Quixote
Atlas Shrugged,Ayn Rand,1078,1957,"['fiction', 'classics', 'philosophy', 'literature', 'politics', 'science-fiction', 'novels', 'science-fiction', 'dystopia', 'economics', 'business']",363971,3.69,http://www.goodreads.com/book/show/662.Atlas_Shrugged
The Old Man and the Sea,Ernest Hemingway,96,1952,"['classics', 'fiction', 'literature', 'novels', 'literature', 'american', 'academic', 'school', 'adventure', 'classics', 'classic-literature', 'literary-fiction', 'literature', '20th-century']",891632,3.79,http://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea
The Notebook,Nicholas Sparks,227,1996,"['romance', 'fiction', 'womens-fiction', 'chick-lit', 'contemporary', 'adult', 'adult-fiction', 'romance', 'contemporary-romance', 'love', 'classics', 'drama']",1398716,4.11,http://www.goodreads.com/book/show/33648131-the-notebook
