Mayfair Witches Collection,Anne Rice,No encontrado,1995,"['fiction', 'horror', 'fantasy', 'fantasy', 'paranormal', 'paranormal', 'witches', 'fantasy', 'supernatural', 'fantasy', 'urban-fantasy', 'adult', 'paranormal', 'vampires', 'romance', 'paranormal-romance']",6185,4.23,http://www.goodreads.com/book/show/43815.Mayfair_Witches_Collection
The Prisoner in the Oak,Marion Zimmer Bradley,No encontrado,1982,"['fantasy', 'fiction', 'historical', 'historical-fiction', 'romance', 'audiobook', 'mythology', 'arthurian', 'classics', 'fantasy', 'mythology', 'historical', 'adult']",4326,4.16,http://www.goodreads.com/book/show/18887.The_Prisoner_in_the_Oak
Seducing the Myth,Lucy Felthouse,No encontrado,2011,"['fantasy', 'adult-fiction', 'erotica', 'romance', 'anthologies', 'fantasy', 'paranormal', 'fantasy', 'supernatural', 'fantasy', 'mythology']",45,4.02,http://www.goodreads.com/book/show/12042088-seducing-the-myth
Shalmar,Serena Whynd,No encontrado,2018,"['fantasy', 'fantasy', 'mythology']",43,4.33,http://www.goodreads.com/book/show/43228184-shalmar
Secrets of Jewish Wealth Revealed! ,Celso Cukierkorn,No encontrado,2010,"['currency', 'money', 'economics', 'finance', 'non-fiction', 'literature', 'jewish']",201,4.21,http://www.goodreads.com/book/show/9972090-secrets-of-jewish-wealth-revealed
Fantacia,Ruth Watson-Morris,No encontrado,2011,['fantasy'],40,4.73,http://www.goodreads.com/book/show/16075193-fantacia
Born Slippy,Tom Lutz,No encontrado,2020,['fiction'],72,3.94,http://www.goodreads.com/book/show/52117102-born-slippy
Ved Maya,Vineeta Malhotra Taneja,No encontrado,2019,[],145,4.78,http://www.goodreads.com/book/show/45286378-ved-maya
The Trouble with Romance,Tamara Philip,No encontrado,2015,[],32,4.53,http://www.goodreads.com/book/show/24889889-the-trouble-with-romance
Freelancing And Outsourcing-How to Outsource Excessive Workload,Maria Johnsen,No encontrado,2013,['business'],11,4.91,http://www.goodreads.com/book/show/21780302-freelancing-and-outsourcing-how-to-outsource-excessive-workload
